"Açude","Data do registro","Volume (%)","Volume (m³)","Afluência/Defluência (m²)"
"Gavião","26/04/2012","81,79","1.186.624","0"
"Gavião","30/05/2012","82","1.189.708,80","0"
"Gavião","01/06/2012","81,79","1.186.624","0"
"Gavião","01/07/2012","78,60","1.140.352","0"
"Gavião","31/08/2012","74,63","1.082.730","0"
"Gavião","30/09/2012","73,64","1.068.470","0"
"Gavião","31/10/2012","72,66","1.054.210","0"
"Gavião","30/11/2012","73,94","1.072.748","0"
"Gavião","29/12/2012","70,20","1.018.560","0"
"Gavião","29/01/2014","62,27","903.500,80","0"
"Gavião","21/02/2014","61,01","885.144","0"
"Gavião","17/03/2014","50,95","739.200","0"
"Gavião","23/04/2014","56,89","825.398,40","0"
"Gavião","26/05/2014","56,89","825.398,40","0"
"Gavião","30/06/2014","59,56","864.164,80","0"
"Gavião","30/07/2014","62,27","903.500,80","0"
"Gavião","29/08/2014","60,29","874.654,40","0"
"Gavião","30/09/2014","63,54","921.857,60","0"
"Gavião","30/10/2014","60,83","882.521,60","0"
"Gavião","19/11/2014","57,72","837.370,40","0"
"Gavião","15/12/2014","54,91","796.665,60","0"
"Gavião","08/01/2015","51,94","753.566,40","0"
"Gavião","20/02/2015","47,07","682.936","0"
"Gavião","31/03/2015","43,49","631.000","0"
"Gavião","16/04/2015","42,55","617.294","0"
"Gavião","28/05/2015","39,17","568.344","0"
"Gavião","30/06/2015","38,23","554.638","0"
"Gavião","27/07/2015","41,87","607.504","0"
"Gavião","31/08/2015","46,48","674.280","0"
"Gavião","21/09/2015","44,83","650.476","0"
"Gavião","15/10/2015","42,41","615.336","0"
"Gavião","27/11/2015","37,69","546.806","0"
"Gavião","03/01/2017","15,65","227.040","0"
"Gavião","03/02/2017","15,65","227.040","0"
"Gavião","17/03/2017","15,65","227.040","0"
"Gavião","25/04/2017","8,67","125.784","0"
"Gavião","30/05/2017","7,82","113.396,80","0"
"Gavião","30/06/2017","7,82","113.396,80","0"
"Gavião","27/07/2017","19,28","279.782,40","0"
"Gavião","15/08/2017","19,64","284.928","0"
"Gavião","26/09/2017","17,42","252.768","0"
"Gavião","09/10/2017","16,62","241.190,40","0"
"Gavião","30/11/2017","12,99","188.400","0"
"Gavião","15/12/2017","11,74","170.385,60","-1.454,40"
"Gavião","22/01/2018","9,30","134.995,20","0"
"Gavião","27/02/2018","8","116.079,20","0"
"Gavião","27/03/2018","7,31","106.116","0"
"Gavião","30/04/2018","22,58","327.540","0"
"Gavião","23/05/2018","28,56","414.346,80","803,60"
"Gavião","27/06/2018","28,73","416.757,60","0"
"Gavião","31/07/2018","26,95","391.042,40","0"
"Gavião","27/08/2018","25,13","364.523,60","0"
"Gavião","28/09/2018","23,02","334.052,40","-723,60"
"Gavião","30/10/2018","20,58","298.596","0"
"Gavião","30/11/2018","18,13","263.059,20","-1.929,60"
"Gavião","28/12/2018","15,96","231.542,40","-1.929,60"
"Gavião","17/01/2019","15,46","224.280","0"
"Gavião","21/02/2019","14,89","216.000","0"
"Gavião","29/03/2019","9,81","142.267,20","-1.454,40"
"Gavião","30/04/2019","7,84","113.780","0"
"Gavião","31/05/2019","5,89","85.423,20","-1.532,80"
"Gavião","27/06/2019","5,91","85.806,40","-1.532,80"
"Gavião","31/07/2019","24,62","357.207,60","3.618"
"Gavião","29/08/2019","29,56","428.811,60","-803,60"
"Gavião","30/09/2019","28,56","414.346,80","0"
"Gavião","31/10/2019","25,57","370.952,40","0"
"Gavião","29/11/2019","23,12","335.499,60","-723,60"
"Gavião","31/12/2019","20,23","293.530,80","0"
"Gavião","29/01/2020","18,26","264.988,80","-2.572,80"
"Gavião","27/02/2020","16,31","236.688","0"
"Gavião","31/03/2020","19,11","277.209,60","-1.286,40"
"Gavião","30/04/2020","17,64","255.984","0"
"Gavião","31/05/2020","18,22","264.345,60","1.286,40"
"Gavião","30/06/2020","24,27","352.142,40","-1.447,20"
"Gavião","31/07/2020","32,33","469.005,60","-890,20"
"Gavião","30/08/2020","30,50","442.472,80","0"
"Gavião","29/09/2020","28,17","408.721,60","-803,60"
"Gavião","30/10/2020","25,40","368.541,60","-1.607,20"
"Gavião","30/11/2020","22,83","331.158","0"
"Gavião","31/12/2020","20,33","294.978","0"
"Gavião","30/01/2021","17,87","259.200","-1.286,40"
"Gavião","28/02/2021","15,78","228.969,60","0"
"Gavião","28/03/2021","42,41","615.336","410.928"
"Gavião","30/04/2021","49,09","712.150","-1.082"
"Gavião","31/05/2021","46,92","680.772","0"
"Gavião","29/06/2021","44,83","650.476","-1.082"
"Gavião","30/07/2021","43,42","630.021","-979"
"Gavião","31/08/2021","43,29","628.063","-979"
"Gavião","30/09/2021","40,73","590.861","0"
"Gavião","30/10/2021","37,69","546.806","-1.958"
"Gavião","30/11/2021","34,72","503.723,40","-1.780,40"
"Gavião","31/12/2021","31,96","463.664,40","-1.780,40"
"Gavião","31/01/2022","29,83","432.829,60","0"
"Gavião","28/02/2022","27,34","396.667,60","-803,60"
"Gavião","07/03/2022","26,95","391.042,40","-803,60"